eventName,visitorType,visitCount,continent,country,visitIp
hospital,new,1,Südamerika,Peru,200.215.0.0
shopping,new,1,Europa,Dänemark,62.242.0.0
hike,new,1,Europa,Dänemark,62.242.0.0
hike,new,1,Europa,Dänemark,62.242.0.0
hotel,new,1,Europa,Vereinigtes Königreich,84.67.0.0
hike,new,1,Europa,Vereinigtes Königreich,84.67.0.0
restaurant,new,1,Europa,Vereinigtes Königreich,84.67.0.0
bike,new,1,Europa,Tschechien,212.20.0.0
restaurant,new,1,Europa,Tschechien,212.20.0.0
adventmarkt,new,1,Europa,Tschechien,212.20.0.0
hike,returning,77,Europa,Luxemburg,172.225.0.0
parking,returning,77,Europa,Luxemburg,172.225.0.0
hotel,returning,77,Europa,Luxemburg,172.225.0.0
wellness,new,1,Europa,Türkei,172.225.0.0
activity,new,1,Europa,Türkei,172.225.0.0
swimming,new,1,Europa,Türkei,172.225.0.0
sehenswuerdigkeiten,returning,2,Asien,Vereinigte Arabische Emirate,94.201.0.0
parking,returning,2,Asien,Vereinigte Arabische Emirate,94.201.0.0
zoo,returning,2,Asien,Vereinigte Arabische Emirate,94.201.0.0
baden,new,1,Europa,Bosnien und Herzegowina,31.223.0.0
shopping,new,1,Europa,Bosnien und Herzegowina,31.223.0.0
activity,new,1,Europa,Bosnien und Herzegowina,31.223.0.0
activity,new,1,Afrika,Nigeria,102.90.0.0
swimming,new,1,Afrika,Nigeria,102.90.0.0
baden,new,1,Afrika,Nigeria,102.90.0.0
sehenswuerdigkeiten,new,1,Europa,Ungarn,31.46.0.0
bike,new,1,Europa,Ungarn,31.46.0.0
shopping,new,1,Europa,Ungarn,31.46.0.0
